,A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
0,,,,0.713,,0.12,62.873006000000004,3.34,,,,,,,,0.426,2.76750591440571,2.977345867643754,0.09,MBA,2640.114088101326,0.0,67279.0,952.4,,,0.07582276595896797,2457000.5,20141209.0,57000.0,J2000,,974.6 x 909.4,1830-04-18,1 Ceres,10.59338616262872,a0000001,2014-07-01,95.98917578768719,1.59376,620.2435792,0.2140776049750494,,,6461.0,Ceres,N,80.32926547452543,JPL 33,1.0,1681.633163085685,4.60406067922159,N,,8123022111651.299,Alan B. Chamberlin,522930923415.15576,,2.557665961167666,0.38826,9.07417,-6778017204000.001,132.0257044050663,2.9718e-09,3.1971e-09,3.0776e-08,3.8175e-06,2.4717e-05,3.4482e-10,1.9936e-05,2.7087e-06,8.4935e-08,0.00011527,3.1113e-05,C,C,G,2000001.0,3.31,2456552.115051939,20130916.6150519,,72.52203270043788
1,,,,0.635,,0.11,13.80133411764706,4.13,,,,,,,,0.284,2.771606108489468,3.412605509261236,0.1587,MBA,2641.858000933681,0.0,68635.0,545.0,18.0,,0.2312736282433415,2457000.5,20141209.0,57000.0,J2000,,582x556x500,1825-03-23,2 Pallas,34.84099788068097,a0000002,2013-02-20,78.22870368538561,1.23071,478.9554107,0.2136027349980301,,,7829.0,Pallas,N,173.0962475866183,JPL 26,2.0,1685.371678425934,4.61429617638859,N,,1778134717223.647,Davide Farnocchia,114545524881.83475,,2.1306067077177,0.54256,7.8132,-1050220927058.8237,132.11290004668408,2.1815e-09,2.686e-09,1.9294e-08,2.135e-06,4.8807e-06,2.5219e-10,3.7364e-06,1.9898e-06,5.3551e-08,2.2678e-05,5.5406e-06,B,B,B,2000002.0,3.043,2456634.265439913,20131207.7654399,,309.9303277309815
2,,,,0.824,,0.32,1.8072708333333334,5.33,,,,,,,,0.433,2.670700240558908,3.35292597742045,0.2383,MBA,2644.457881847374,0.0,69075.0,233.92,11.2,,0.2554482627817375,2457000.5,20141209.0,57000.0,J2000,,,1824-04-18,3 Juno,12.98166179450518,a0000003,2013-06-01,33.07715332505229,1.03987,404.6862079,0.2258220552029944,,,6611.0,Juno,N,169.8711811946533,JPL 102,3.0,1594.175554183099,4.36461479584695,N,,2.7083333333333337e-44,Davide Farnocchia,1.746396144238482e-45,,1.988474503697366,0.51434,7.21,-198520833333.33334,5.416666666666668e-56,2.06e-09,2.5862e-09,2.0266e-08,2.4284e-06,6.5107e-06,2.6127e-10,1.1408e-05,1.8444e-06,5.4099e-08,2.8755e-05,1.2468e-05,Sk,Sk,S,2000003.0,3.298,2456854.0255854647,20140715.5255855,,248.4099652667037
3,,,,0.782,,0.32,17.652865416666664,3.2,,,,,,,,0.492,2.361793227026224,2.571379159548719,0.4228,MBA,2649.78776532007,0.0,67680.0,530.0,,,0.08874017002173754,2457000.5,20141209.0,57000.0,J2000,,,1827-12-11,4 Vesta,7.140427316529066,a0000004,2013-03-30,20.86384148999364,1.14151,444.2414467,0.2715446587223504,,,7107.0,Vesta,N,103.8513672233257,JPL 33,4.0,1325.748779938602,3.62970234069432,N,,2.6454166666666668e-43,Davide Farnocchia,1.709264096969724e-44,,2.152207294503728,0.55596,5.342,-1939090416666.6665,5.2908333333333334e-55,1.2194e-09,1.3276e-09,1.0284e-08,1.4093e-06,5.5256e-06,2.103e-10,2.7662e-06,1.0267e-06,2.388e-08,2.038e-05,7.5857e-06,V,V,V,2000004.0,3.535,2456923.666076666,20140923.1660767,,151.1985275178533
4,,,,0.826,,,0.19251605000000002,6.85,,,,,,,,0.411,2.573809011579202,3.06575525205855,0.2268,MBA,2645.565948218195,0.0,61678.0,119.07,6.5,,0.1911354876240434,2457000.5,20141209.0,57000.0,J2000,,,1845-12-15,5 Astraea,5.368522622810963,a0000005,2014-10-28,260.1895421046985,1.09535,426.2773595,0.2386929534481925,,,2201.0,Astraea,N,141.5955615526537,JPL 90,5.0,1508.213773382869,4.12926426661976,N,,2.8850000000000007e-45,Otto Matic,1.861094407152057e-46,,2.081862771099854,0.58171,16.8,-21147050000.0,5.770000000000001e-57,3.9887e-09,4.7511e-09,2.2229e-08,2.6833e-06,7.401e-06,5.5486e-10,2.9043e-05,3.506e-06,5.6832e-08,3.1144e-05,2.9875e-05,S,S,S,2000005.0,3.396,2457418.654187015,20160131.154187,,358.9289810580858
5,,,,0.822,,0.24,0.9448968000000001,5.71,,,,,,,,0.399,2.425351344821642,2.913936047953528,0.2679,MBA,2649.3011000813185,0.0,60166.0,185.18,2.9,,0.2014490412595527,2457000.5,20141209.0,57000.0,J2000,,,1848-09-08,6 Hebe,14.74816234156889,a0000006,2013-06-01,29.21424207793233,0.97813,380.6588521,0.2609408558893541,,,5455.0,Hebe,N,138.703621828055,JPL 82,6.0,1379.622975378948,3.77720184908678,N,,1.4160000000000004e-44,Davide Farnocchia,9.147418897891718e-46,,1.936766641689755,0.53367,7.2745,-103792800000.00002,2.8320000000000007e-56,1.8345e-09,2.2041e-09,1.9016e-08,2.1043e-06,6.9155e-06,2.9606e-10,1.0768e-05,1.5653e-06,4.5979e-08,2.6464e-05,1.2499e-05,S,S,S,2000006.0,3.439,2456888.542667836,20140819.0426678,,239.4079299095493
6,,,,0.855,,,0.9299302142857144,5.51,,,,,,,,0.484,2.386659850431612,2.937487752989813,0.2766,MBA,2650.7269660410666,0.0,60168.0,199.83,10.0,,0.2307944730618347,2457000.5,20141209.0,57000.0,J2000,,,1848-08-23,7 Iris,5.522701053639459,a0000007,2013-05-18,72.14864865091278,0.848267,330.12006839,0.2673118939766791,2.0,0.0,4780.0,Iris,N,259.6207451128045,JPL 105,7.0,1346.741421208168,3.68717706011819,N,,1.393571428571429e-44,Davide Farnocchia,9.007374596019126e-46,,1.835831947873411,0.49835,7.139,-102148785714.28572,2.787142857142858e-56,1.6318e-09,2.0084e-09,1.8217e-08,2.4606e-06,5.8322e-06,2.7415e-10,2.6125e-05,1.3812e-06,4.3536e-08,2.1665e-05,2.6697e-05,S,S,S,2000007.0,3.492,2456730.595628827,20140314.0956288,,145.4612615006708
7,,,,0.885,,0.28,0.5117449555555557,6.49,,,,,,,,0.489,2.201958126370758,2.546205947057996,0.2426,MBA,2654.7341513944502,0.0,60974.0,135.89,2.3,,0.156337133101901,2457000.5,20141209.0,57000.0,J2000,,,1847-11-03,8 Flora,5.887771463539604,a0000008,2014-10-12,71.83873365994532,0.875049,340.54281933,0.3016410820293548,,,2314.0,Flora,N,110.9223225034911,JPL 98,8.0,1193.471385190714,3.26754657136404,N,,0.0,Otto Matic,0.0,,1.85771030568352,0.57742,12.865,-56212955555.555565,0.0,1.9193e-09,2.2194e-09,2.2961e-08,3.0562e-06,1.0261e-05,3.9438e-10,2.5599e-05,1.5604e-06,5.0437e-08,3.3896e-05,2.7178e-05,?,,S,2000008.0,3.641,2456762.340352857,20140414.8403529,,285.4669148711582
8,,,,0.858,,0.17,0.5819690125,6.28,,,,,,,,0.496,2.386434727641735,2.678272157921147,0.118,MBA,2649.3903283845534,0.0,60290.0,190.0,,,0.1222901372072322,2457000.5,20141209.0,57000.0,J2000,,,1849-07-31,9 Metis,5.574443831744537,a0000009,2014-08-25,209.685652098233,1.10928,431.6984976,0.2673497199128967,,,2362.0,Metis,N,68.94475295406656,JPL 98,9.0,1346.550877694164,3.68665538040839,N,,0.0,Otto Matic,0.0,,2.094597297362323,0.4463,5.079,-63926762500.00001,0.0,3.0639e-09,3.4386e-09,1.7637e-08,1.9897e-06,9.7665e-06,5.1487e-10,2.4268e-05,2.5932e-06,4.2217e-08,3.6755e-05,2.6061e-05,?,,S,2000009.0,3.518,2457562.7386586033,20160623.2386586,,5.868801508667977
9,,,,0.696,,,5.806622166666667,5.43,,,,,,,,0.351,3.139436479197706,3.501344613600569,0.0717,MBA,2633.34263070305,0.0,59732.0,407.12,6.8,,0.1152780560463355,2457000.5,20141209.0,57000.0,J2000,,,1849-05-26,10 Hygiea,3.841064231498112,a0000010,2012-12-09,228.7037091720366,1.76927,688.5468059,0.1771848247695326,,,2840.0,Hygiea,N,283.4211836370176,JPL 85,10.0,2031.776708125306,5.56270145961754,N,,750199859282.0249,Davide Farnocchia,48171297334.472275,,2.777528344794843,0.61205,27.623,-625982237000.0,131.6871315351525,6.4894e-09,7.2375e-09,1.6582e-08,2.2355e-06,1.1269e-05,5.4938e-10,2.9483e-05,6.2997e-06,5.2274e-08,6.4728e-05,3.1155e-05,C,C,C,2000010.0,3.197,2457741.513182132,20161219.0131821,,312.4581528371256
